Sample_Index,Time_Relative_Trigger_s,Raw_Count,Voltage_V
0,0.00000000e+00,-5609,-233.708333
1,1.00000000e+00,-5609,-233.708333
2,2.00000000e+00,-5598,-233.250000
3,3.00000000e+00,-5598,-233.250000
4,4.00000000e+00,-5582,-232.583333
5,5.00000000e+00,-5582,-232.583333
6,6.00000000e+00,-5569,-232.041667
7,7.00000000e+00,-5569,-232.041667
8,8.00000000e+00,-5550,-231.250000
9,9.00000000e+00,-5550,-231.250000
10,1.00000000e+01,-5537,-230.708333
11,1.10000000e+01,-5537,-230.708333
12,1.20000000e+01,-5516,-229.833333
13,1.30000000e+01,-5516,-229.833333
14,1.40000000e+01,-5499,-229.125000
15,1.50000000e+01,-5499,-229.125000
16,1.60000000e+01,-5481,-228.375000
17,1.70000000e+01,-5481,-228.375000
18,1.80000000e+01,-5461,-227.541667
19,1.90000000e+01,-5461,-227.541667
20,2.00000000e+01,-5441,-226.708333
21,2.10000000e+01,-5441,-226.708333
22,2.20000000e+01,-5421,-225.875000
23,2.30000000e+01,-5421,-225.875000
24,2.40000000e+01,-5396,-224.833333
25,2.50000000e+01,-5396,-224.833333
26,2.60000000e+01,-5375,-223.958333
27,2.70000000e+01,-5375,-223.958333
28,2.80000000e+01,-5354,-223.083333
29,2.90000000e+01,-5354,-223.083333
30,3.00000000e+01,-5332,-222.166667
31,3.10000000e+01,-5332,-222.166667
32,3.20000000e+01,-5306,-221.083333
33,3.30000000e+01,-5306,-221.083333
34,3.40000000e+01,-5281,-220.041667
35,3.50000000e+01,-5281,-220.041667
36,3.60000000e+01,-5256,-219.000000
37,3.70000000e+01,-5256,-219.000000
38,3.80000000e+01,-5231,-217.958333
39,3.90000000e+01,-5231,-217.958333
40,4.00000000e+01,-5207,-216.958333
41,4.10000000e+01,-5207,-216.958333
42,4.20000000e+01,-5178,-215.750000
43,4.30000000e+01,-5178,-215.750000
44,4.40000000e+01,-5151,-214.625000
45,4.50000000e+01,-5151,-214.625000
46,4.60000000e+01,-5125,-213.541667
47,4.70000000e+01,-5125,-213.541667
48,4.80000000e+01,-5101,-212.541667
49,4.90000000e+01,-5101,-212.541667
50,5.00000000e+01,-5072,-211.333333
51,5.10000000e+01,-5072,-211.333333
52,5.20000000e+01,-5046,-210.250000
53,5.30000000e+01,-5046,-210.250000
54,5.40000000e+01,-5016,-209.000000
55,5.50000000e+01,-5016,-209.000000
56,5.60000000e+01,-4988,-207.833333
57,5.70000000e+01,-4988,-207.833333
58,5.80000000e+01,-4962,-206.750000
59,5.90000000e+01,-4962,-206.750000
60,6.00000000e+01,-4933,-205.541667
61,6.10000000e+01,-4933,-205.541667
62,6.20000000e+01,-4906,-204.416667
63,6.30000000e+01,-4906,-204.416667
64,6.40000000e+01,-4880,-203.333333
65,6.50000000e+01,-4880,-203.333333
66,6.60000000e+01,-4853,-202.208333
67,6.70000000e+01,-4853,-202.208333
68,6.80000000e+01,-4824,-201.000000
