Sample_Index,Time_Relative_Trigger_s,Voltage_V
0,0.00000000e+00,59.375000
1,1.00000000e+00,59.375000
2,2.00000000e+00,57.541667
3,3.00000000e+00,57.541667
4,4.00000000e+00,55.750000
5,5.00000000e+00,55.750000
6,6.00000000e+00,53.875000
7,7.00000000e+00,53.875000
8,8.00000000e+00,52.125000
9,9.00000000e+00,52.125000
10,1.00000000e+01,50.291667
11,1.10000000e+01,50.291667
12,1.20000000e+01,48.375000
13,1.30000000e+01,48.375000
14,1.40000000e+01,46.625000
15,1.50000000e+01,46.625000
16,1.60000000e+01,44.791667
17,1.70000000e+01,44.791667
18,1.80000000e+01,42.750000
19,1.90000000e+01,42.750000
20,2.00000000e+01,40.875000
21,2.10000000e+01,40.875000
22,2.20000000e+01,38.958333
23,2.30000000e+01,38.958333
24,2.40000000e+01,36.958333
25,2.50000000e+01,36.958333
26,2.60000000e+01,35.041667
27,2.70000000e+01,35.041667
28,2.80000000e+01,33.083333
29,2.90000000e+01,33.083333
30,3.00000000e+01,31.083333
31,3.10000000e+01,31.083333
32,3.20000000e+01,28.916667
33,3.30000000e+01,28.916667
34,3.40000000e+01,27.041667
35,3.50000000e+01,27.041667
36,3.60000000e+01,24.875000
37,3.70000000e+01,24.875000
38,3.80000000e+01,22.875000
39,3.90000000e+01,22.875000
40,4.00000000e+01,20.791667
41,4.10000000e+01,20.791667
42,4.20000000e+01,18.750000
43,4.30000000e+01,18.750000
44,4.40000000e+01,16.541667
45,4.50000000e+01,16.541667
46,4.60000000e+01,14.541667
47,4.70000000e+01,14.541667
48,4.80000000e+01,12.416667
49,4.90000000e+01,12.416667
50,5.00000000e+01,10.291667
51,5.10000000e+01,10.291667
52,5.20000000e+01,8.208333
53,5.30000000e+01,8.208333
54,5.40000000e+01,5.958333
55,5.50000000e+01,5.958333
56,5.60000000e+01,3.833333
57,5.70000000e+01,3.833333
58,5.80000000e+01,1.583333
59,5.90000000e+01,1.583333
60,6.00000000e+01,-0.541667
61,6.10000000e+01,-0.541667
62,6.20000000e+01,-2.708333
63,6.30000000e+01,-2.708333
64,6.40000000e+01,-4.750000
65,6.50000000e+01,-4.750000
66,6.60000000e+01,-7.000000
67,6.70000000e+01,-7.000000
68,6.80000000e+01,-9.125000
69,6.90000000e+01,-9.125000
70,7.00000000e+01,-11.291667
71,7.10000000e+01,-11.291667
72,7.20000000e+01,-13.416667
73,7.30000000e+01,-13.416667
74,7.40000000e+01,-15.458333
75,7.50000000e+01,-15.458333
76,7.60000000e+01,-17.500000
77,7.70000000e+01,-17.500000
78,7.80000000e+01,-19.750000
79,7.90000000e+01,-19.750000
80,8.00000000e+01,-21.833333
81,8.10000000e+01,-21.833333
82,8.20000000e+01,-23.916667
83,8.30000000e+01,-23.916667
84,8.40000000e+01,-26.083333
85,8.50000000e+01,-26.083333
86,8.60000000e+01,-28.125000
87,8.70000000e+01,-28.125000
88,8.80000000e+01,-30.250000
89,8.90000000e+01,-30.250000
90,9.00000000e+01,-32.083333
91,9.10000000e+01,-32.083333
92,9.20000000e+01,-34.125000
93,9.30000000e+01,-34.125000
94,9.40000000e+01,-36.250000
95,9.50000000e+01,-36.250000
96,9.60000000e+01,-38.166667
97,9.70000000e+01,-38.166667
98,9.80000000e+01,-40.208333
99,9.90000000e+01,-40.208333
100,1.00000000e+02,-42.125000
101,1.01000000e+02,-42.125000
102,1.02000000e+02,-44.125000
103,1.03000000e+02,-44.125000
104,1.04000000e+02,-46.000000
105,1.05000000e+02,-46.000000
106,1.06000000e+02,-47.708333
107,1.07000000e+02,-47.708333
108,1.08000000e+02,-49.708333
109,1.09000000e+02,-49.708333
110,1.10000000e+02,-51.583333
111,1.11000000e+02,-51.583333
112,1.12000000e+02,-53.500000
113,1.13000000e+02,-53.500000
114,1.14000000e+02,-55.291667
115,1.15000000e+02,-55.291667
116,1.16000000e+02,-57.125000
117,1.17000000e+02,-57.125000
118,1.18000000e+02,-59.041667
119,1.19000000e+02,-59.041667
120,1.20000000e+02,-60.583333
121,1.21000000e+02,-60.583333
122,1.22000000e+02,-62.458333
123,1.23000000e+02,-62.458333
124,1.24000000e+02,-64.208333
125,1.25000000e+02,-64.208333
126,1.26000000e+02,-66.083333
127,1.27000000e+02,-66.083333
128,1.28000000e+02,-67.750000
129,1.29000000e+02,-67.750000
130,1.30000000e+02,-69.500000
131,1.31000000e+02,-69.500000
132,1.32000000e+02,-71.291667
133,1.33000000e+02,-71.291667
134,1.34000000e+02,-73.083333
135,1.35000000e+02,-73.083333
136,1.36000000e+02,-74.750000
137,1.37000000e+02,-74.750000
138,1.38000000e+02,-76.458333
139,1.39000000e+02,-76.458333
140,1.40000000e+02,-78.250000
141,1.41000000e+02,-78.250000
142,1.42000000e+02,-80.083333
143,1.43000000e+02,-80.083333
144,1.44000000e+02,-81.750000
145,1.45000000e+02,-81.750000
146,1.46000000e+02,-83.500000
147,1.47000000e+02,-83.500000
148,1.48000000e+02,-85.333333
149,1.49000000e+02,-85.333333
150,1.50000000e+02,-87.125000
151,1.51000000e+02,-87.125000
152,1.52000000e+02,-88.916667
153,1.53000000e+02,-88.916667
154,1.54000000e+02,-90.583333
155,1.55000000e+02,-90.583333
156,1.56000000e+02,-92.458333
157,1.57000000e+02,-92.458333
158,1.58000000e+02,-94.166667
159,1.59000000e+02,-94.166667
160,1.60000000e+02,-95.958333
161,1.61000000e+02,-95.958333
162,1.62000000e+02,-98.000000
163,1.63000000e+02,-98.000000
164,1.64000000e+02,-99.625000
165,1.65000000e+02,-99.625000
166,1.66000000e+02,-101.416667
167,1.67000000e+02,-101.416667
168,1.68000000e+02,-103.208333
169,1.69000000e+02,-103.208333
170,1.70000000e+02,-104.916667
171,1.71000000e+02,-104.916667
172,1.72000000e+02,-106.708333
173,1.73000000e+02,-106.708333
174,1.74000000e+02,-108.625000
175,1.75000000e+02,-108.625000
176,1.76000000e+02,-110.375000
177,1.77000000e+02,-110.375000
178,1.78000000e+02,-112.250000
179,1.79000000e+02,-112.250000
180,1.80000000e+02,-114.041667
181,1.81000000e+02,-114.041667
182,1.82000000e+02,-115.791667
183,1.83000000e+02,-115.791667
184,1.84000000e+02,-117.541667
185,1.85000000e+02,-117.541667
186,1.86000000e+02,-119.416667
187,1.87000000e+02,-119.416667
188,1.88000000e+02,-121.208333
189,1.89000000e+02,-121.208333
190,1.90000000e+02,-123.000000
191,1.91000000e+02,-123.000000
192,1.92000000e+02,-124.750000
193,1.93000000e+02,-124.750000
194,1.94000000e+02,-126.625000
195,1.95000000e+02,-126.625000
196,1.96000000e+02,-128.250000
197,1.97000000e+02,-128.250000
198,1.98000000e+02,-129.958333
199,1.99000000e+02,-129.958333
200,2.00000000e+02,-131.625000
201,2.01000000e+02,-131.625000
202,2.02000000e+02,-133.333333
203,2.03000000e+02,-133.333333
204,2.04000000e+02,-135.041667
205,2.05000000e+02,-135.041667
206,2.06000000e+02,-136.958333
207,2.07000000e+02,-136.958333
208,2.08000000e+02,-138.375000
209,2.09000000e+02,-138.375000
210,2.10000000e+02,-140.083333
211,2.11000000e+02,-140.083333
212,2.12000000e+02,-141.583333
213,2.13000000e+02,-141.583333
214,2.14000000e+02,-143.125000
215,2.15000000e+02,-143.125000
216,2.16000000e+02,-144.750000
217,2.17000000e+02,-144.750000
218,2.18000000e+02,-146.125000
219,2.19000000e+02,-146.125000
220,2.20000000e+02,-147.791667
221,2.21000000e+02,-147.791667
222,2.22000000e+02,-149.250000
223,2.23000000e+02,-149.250000
224,2.24000000e+02,-150.833333
225,2.25000000e+02,-150.833333
226,2.26000000e+02,-152.125000
227,2.27000000e+02,-152.125000
228,2.28000000e+02,-153.416667
229,2.29000000e+02,-153.416667
230,2.30000000e+02,-154.875000
231,2.31000000e+02,-154.875000
232,2.32000000e+02,-156.291667
233,2.33000000e+02,-156.291667
234,2.34000000e+02,-157.583333
235,2.35000000e+02,-157.583333
236,2.36000000e+02,-158.833333
237,2.37000000e+02,-158.833333
238,2.38000000e+02,-160.000000
239,2.39000000e+02,-160.000000
240,2.40000000e+02,-161.375000
241,2.41000000e+02,-161.375000
242,2.42000000e+02,-162.583333
243,2.43000000e+02,-162.583333
244,2.44000000e+02,-163.916667
245,2.45000000e+02,-163.916667
246,2.46000000e+02,-165.083333
247,2.47000000e+02,-165.083333
248,2.48000000e+02,-166.083333
249,2.49000000e+02,-166.083333
250,2.50000000e+02,-167.333333
251,2.51000000e+02,-167.333333
252,2.52000000e+02,-168.375000
253,2.53000000e+02,-168.375000
254,2.54000000e+02,-169.541667
255,2.55000000e+02,-169.541667
256,2.56000000e+02,-170.583333
257,2.57000000e+02,-170.583333
258,2.58000000e+02,-171.625000
259,2.59000000e+02,-171.625000
260,2.60000000e+02,-172.666667
261,2.61000000e+02,-172.666667
262,2.62000000e+02,-173.666667
263,2.63000000e+02,-173.666667
264,2.64000000e+02,-174.750000
265,2.65000000e+02,-174.750000
266,2.66000000e+02,-175.625000
267,2.67000000e+02,-175.625000
268,2.68000000e+02,-176.833333
269,2.69000000e+02,-176.833333
270,2.70000000e+02,-177.833333
271,2.71000000e+02,-177.833333
272,2.72000000e+02,-178.791667
273,2.73000000e+02,-178.791667
274,2.74000000e+02,-179.875000
275,2.75000000e+02,-179.875000
276,2.76000000e+02,-180.708333
277,2.77000000e+02,-180.708333
278,2.78000000e+02,-181.791667
279,2.79000000e+02,-181.791667
280,2.80000000e+02,-182.791667
281,2.81000000e+02,-182.791667
282,2.82000000e+02,-183.708333
283,2.83000000e+02,-183.708333
284,2.84000000e+02,-184.833333
285,2.85000000e+02,-184.833333
286,2.86000000e+02,-185.666667
287,2.87000000e+02,-185.666667
288,2.88000000e+02,-186.750000
289,2.89000000e+02,-186.750000
290,2.90000000e+02,-187.625000
291,2.91000000e+02,-187.625000
292,2.92000000e+02,-188.833333
293,2.93000000e+02,-188.833333
294,2.94000000e+02,-189.666667
295,2.95000000e+02,-189.666667
296,2.96000000e+02,-190.708333
297,2.97000000e+02,-190.708333
298,2.98000000e+02,-191.666667
299,2.99000000e+02,-191.666667
300,3.00000000e+02,-192.791667
301,3.01000000e+02,-192.791667
302,3.02000000e+02,-193.833333
303,3.03000000e+02,-193.833333
304,3.04000000e+02,-194.875000
305,3.05000000e+02,-194.875000
306,3.06000000e+02,-195.875000
307,3.07000000e+02,-195.875000
308,3.08000000e+02,-197.000000
309,3.09000000e+02,-197.000000
310,3.10000000e+02,-198.041667
311,3.11000000e+02,-198.041667
312,3.12000000e+02,-199.041667
313,3.13000000e+02,-199.041667
314,3.14000000e+02,-200.083333
315,3.15000000e+02,-200.083333
316,3.16000000e+02,-201.166667
317,3.17000000e+02,-201.166667
318,3.18000000e+02,-202.333333
319,3.19000000e+02,-202.333333
320,3.20000000e+02,-203.375000
321,3.21000000e+02,-203.375000
322,3.22000000e+02,-204.458333
323,3.23000000e+02,-204.458333
324,3.24000000e+02,-205.541667
325,3.25000000e+02,-205.541667
326,3.26000000e+02,-206.583333
327,3.27000000e+02,-206.583333
328,3.28000000e+02,-207.750000
329,3.29000000e+02,-207.750000
330,3.30000000e+02,-208.791667
331,3.31000000e+02,-208.791667
332,3.32000000e+02,-209.791667
333,3.33000000e+02,-209.791667
334,3.34000000e+02,-210.791667
335,3.35000000e+02,-210.791667
